Category,intersection,model,date,forecast,actual_sales
6,40_4,es,2010-02-05,,23906.14
2,10_5,es,2010-02-05,,75297.91
2,23_16,es,2010-02-05,,4269.59
3,13_13,es,2010-02-05,,51049.68
1,29_40,es,2010-02-05,,30094.42
2,23_74,es,2010-02-05,,32081.02
4,1_97,es,2010-02-05,,32153.04
4,16_40,es,2010-02-05,,34870.18
7,40_2,es,2010-02-05,,27089.38
5,24_90,es,2010-02-05,,73435.29
1,23_72,es,2010-02-05,,104395.84
1,31_13,es,2010-02-05,,45228.96
1,26_40,es,2010-02-05,,39952.95
1,20_7,es,2010-02-05,,33042.19
2,19_2,es,2010-02-05,,52144.5
2,6_72,es,2010-02-05,,112279.42
6,26_92,es,2010-02-05,,91402.2
5,2_81,es,2010-02-05,,32543.64
7,17_95,es,2010-02-05,,43836.05
1,31_2,es,2010-02-05,,58982.08
7,4_94,es,2010-02-05,,57647.52
1,35_14,es,2010-02-05,,42892.73
4,11_93,es,2010-02-05,,31781.73
5,6_96,es,2010-02-05,,24989.15
1,45_13,es,2010-02-05,,34359.75
3,12_34,es,2010-02-05,,30976.05
6,42_38,es,2010-02-05,,40559.37
2,4_96,es,2010-02-05,,32581.21
4,6_93,es,2010-02-05,,40815.87
7,14_2,es,2010-02-05,,87917.02
6,15_72,es,2010-02-05,,80900.2
6,2_16,es,2010-02-05,,9674.86
5,19_9,es,2010-02-05,,12355.07
3,18_72,es,2010-02-05,,117802.39
1,32_90,es,2010-02-05,,63647.47
3,22_38,es,2010-02-05,,65423.3
7,9_38,es,2010-02-05,,83916.56
5,16_72,es,2010-02-05,,47548.99
5,10_72,es,2010-02-05,,232558.51
4,1_1,es,2010-02-05,,24924.5
3,31_46,es,2010-02-05,,25122.16
4,36_95,es,2010-02-05,,40389.37
2,10_40,es,2010-02-05,,119463.15
3,30_92,es,2010-02-05,,61467.01
7,11_46,es,2010-02-05,,28056.72
1,41_91,es,2010-02-05,,54532.45
2,4_9,es,2010-02-05,,21654.54
7,2_2,es,2010-02-05,,74661.16
5,32_95,es,2010-02-05,,85361.47
3,30_95,es,2010-02-05,,47425.92
5,26_4,es,2010-02-05,,24639.6
7,16_38,es,2010-02-05,,57776.81
6,11_95,es,2010-02-05,,79557.01
2,22_9,es,2010-02-05,,14965.71
7,11_92,es,2010-02-05,,90342.72
1,11_74,es,2010-02-05,,33083.34
1,11_13,es,2010-02-05,,47984.81
4,12_40,es,2010-02-05,,54052.68
4,7_40,es,2010-02-05,,35190.04
7,41_40,es,2010-02-05,,47546.05
1,43_38,es,2010-02-05,,53986.39
1,10_23,es,2010-02-05,,66322.9
4,20_92,es,2010-02-05,,195223.84
1,28_91,es,2010-02-05,,80421.01
6,17_4,es,2010-02-05,,20984.53
4,18_74,es,2010-02-05,,20741.06
7,19_23,es,2010-02-05,,25160.36
6,13_4,es,2010-02-05,,42482.68
3,13_91,es,2010-02-05,,89955.29
4,23_40,es,2010-02-05,,74553.22
2,32_92,es,2010-02-05,,103403.45
6,6_38,es,2010-02-05,,100213.47
5,12_8,es,2010-02-05,,45875.87
2,10_16,es,2010-02-05,,25694.43
5,14_91,es,2010-02-05,,162497.78
4,20_91,es,2010-02-05,,109009.28
6,27_80,es,2010-02-05,,30306.9
1,22_40,es,2010-02-05,,57785.83
4,20_9,es,2010-02-05,,18259.07
6,14_1,es,2010-02-05,,32842.31
5,30_91,es,2010-02-05,,34049.37
1,38_38,es,2010-02-05,,38258.19
1,13_23,es,2010-02-05,,25027.07
4,1_38,es,2010-02-05,,115564.35
1,11_7,es,2010-02-05,,27062.95
5,10_38,es,2010-02-05,,96408.49
6,23_92,es,2010-02-05,,51295.23
