intersection,date,actual_sales,Country,Store,Division,Category,Product,forecast_es,forecast_sarima
40_4,2010-02-05,23906.14,Canada,40,C,C_2,4,23202.667788453313,0.0
40_4,2010-02-12,21778.87,Canada,40,C,C_2,4,20684.055555256877,19216.924116136335
40_4,2010-02-19,21779.47,Canada,40,C,C_2,4,22203.422475435247,21103.68638048287
40_4,2010-02-26,20609.53,Canada,40,C,C_2,4,21900.56707318711,21598.15141414821
40_4,2010-03-05,25311.53,Canada,40,C,C_2,4,23715.423877171066,20875.12525695515
40_4,2010-03-12,21921.82,Canada,40,C,C_2,4,20970.006854344094,24119.570384102473
40_4,2010-03-19,21356.97,Canada,40,C,C_2,4,20469.133060041357,22512.308764254813
40_4,2010-03-26,21865.7,Canada,40,C,C_2,4,21273.957423873173,21667.38509181395
40_4,2010-04-02,23860.81,Canada,40,C,C_2,4,22354.866192186546,21812.41697646247
40_4,2010-04-09,21321.64,Canada,40,C,C_2,4,23203.940422046617,23310.450095345343
40_4,2010-04-16,22288.3,Canada,40,C,C_2,4,20545.88313230398,21855.99123146341
40_4,2010-04-23,21947.07,Canada,40,C,C_2,4,21861.33161540783,22172.14777240238
40_4,2010-04-30,20806.15,Canada,40,C,C_2,4,20068.969023332127,22007.54363956036
40_4,2010-05-07,24371.97,Canada,40,C,C_2,4,26149.41982897999,21128.939074875812
40_4,2010-05-14,22923.7,Canada,40,C,C_2,4,22756.82025673238,23500.63614434738
40_4,2010-05-21,22583.53,Canada,40,C,C_2,4,23161.14499078037,23078.710546222374
40_4,2010-05-28,23216.91,Canada,40,C,C_2,4,23944.337191497576,22716.574545225165
40_4,2010-06-04,26084.16,Canada,40,C,C_2,4,26811.48518494966,23082.480439815605
40_4,2010-06-11,25090.77,Canada,40,C,C_2,4,25277.765489279656,25277.67215421759
40_4,2010-06-18,24583.04,Canada,40,C,C_2,4,23859.99316588159,25140.986657942594
40_4,2010-06-25,23139.35,Canada,40,C,C_2,4,24918.377013588673,24732.948472641267
